sector,trading_date,open,high,low,close,volume,year,month,date
IT Sector,2020-07-05,29.6,29.6,29.6,29.6,1939.43,2020,07,05
IT Sector,2020-07-06,25.19,25.26,25.19,25.2,72821.38,2020,07,06
IT Sector,2020-07-07,28.33,28.44,28.32,28.32,66609.67,2020,07,07
IT Sector,2020-07-08,30.96,31.37,30.96,31.14,103242.5,2020,07,08
IT Sector,2020-07-09,31.18,31.53,31.0,31.22,88281.1,2020,07,09
IT Sector,2020-07-12,31.27,31.79,31.15,31.5,198336.2,2020,07,12
IT Sector,2020-07-13,31.51,32.16,31.12,31.44,241039.0,2020,07,13
IT Sector,2020-07-14,28.93,29.16,28.47,28.53,143500.0,2020,07,14
IT Sector,2020-07-15,31.31,31.51,30.96,31.19,226257.4,2020,07,15
IT Sector,2020-07-16,31.26,31.63,31.18,31.48,295963.6,2020,07,16
IT Sector,2020-07-19,28.98,29.02,28.51,28.62,124126.44,2020,07,19
IT Sector,2020-07-20,29.79,30.26,29.75,30.06,112062.75,2020,07,20
IT Sector,2020-07-21,28.96,29.62,28.82,29.22,286946.33,2020,07,21
IT Sector,2020-07-22,31.8,32.52,31.63,32.03,333477.5,2020,07,22
IT Sector,2020-07-23,29.64,30.43,29.39,30.16,374159.11,2020,07,23
IT Sector,2020-07-26,32.58,33.43,32.21,33.15,481519.2,2020,07,26
IT Sector,2020-07-27,30.97,31.36,30.3,30.62,470853.67,2020,07,27
IT Sector,2020-07-28,32.95,34.53,32.64,34.12,583484.8,2020,07,28
IT Sector,2020-07-29,34.05,35.08,33.42,34.34,727030.1,2020,07,29
IT Sector,2020-07-30,34.17,35.18,33.45,34.4,717796.6,2020,07,30
Services & Real Estate,2020-07-02,32.23,32.23,32.23,32.23,3188.75,2020,07,02
Services & Real Estate,2020-07-05,32.23,32.23,32.23,32.23,5129.75,2020,07,05
Services & Real Estate,2020-07-06,32.23,32.23,32.23,32.23,3742.0,2020,07,06
Services & Real Estate,2020-07-07,22.77,22.77,22.77,22.77,7496.0,2020,07,07
Services & Real Estate,2020-07-08,32.23,32.23,32.23,32.23,14527.75,2020,07,08
Services & Real Estate,2020-07-09,32.23,32.65,32.23,32.3,170769.0,2020,07,09
Services & Real Estate,2020-07-12,32.33,33.7,32.23,33.28,125922.75,2020,07,12
Services & Real Estate,2020-07-13,33.23,33.5,32.55,32.73,877301.5,2020,07,13
Services & Real Estate,2020-07-14,32.75,33.45,32.5,33.0,301090.5,2020,07,14
Services & Real Estate,2020-07-15,33.05,33.83,32.75,33.6,115989.5,2020,07,15
Services & Real Estate,2020-07-16,33.08,33.4,32.73,32.85,33004.75,2020,07,16
Services & Real Estate,2020-07-19,32.58,32.75,32.23,32.48,31482.25,2020,07,19
