source_sheet,sector,trading_date,open,high,low,close,volume
DSE-2013,IFILISLMF1,2013-08-22,4.9,5.1,4.9,4.9,473500
DSE-2013,IFILISLMF1,2013-08-25,5.0,5.1,4.9,5.0,765500
DSE-2013,IFILISLMF1,2013-08-26,5.0,5.2,5.0,5.1,536000
DSE-2013,IFILISLMF1,2013-08-27,5.1,5.2,5.0,5.1,705000
DSE-2013,IFILISLMF1,2013-08-29,5.1,5.1,5.0,5.0,384500
DSE-2013,IFILISLMF1,2013-01-09,5.1,5.2,5.0,5.1,533500
DSE-2013,IFILISLMF1,2013-02-09,5.1,5.3,5.1,5.2,243500
DSE-2013,IFILISLMF1,2013-03-09,5.2,5.2,5.1,5.1,167500
DSE-2013,IFILISLMF1,2013-04-09,5.2,5.3,5.1,5.1,258000
DSE-2013,IFILISLMF1,2013-05-09,5.2,5.2,5.1,5.1,422500
DSE-2013,IFILISLMF1,2013-08-09,5.2,5.2,5.1,5.1,208000
DSE-2013,IFILISLMF1,2013-09-09,5.2,5.2,5.1,5.1,316000
DSE-2013,IFILISLMF1,2013-10-09,5.1,5.2,5.0,5.1,586000
DSE-2013,IFILISLMF1,2013-11-09,5.2,5.3,5.1,5.1,387000
DSE-2013,IFILISLMF1,2013-12-09,5.1,5.3,5.1,5.2,328000
DSE-2013,IFILISLMF1,2013-09-15,5.2,5.2,5.1,5.1,349000
DSE-2013,IFILISLMF1,2013-09-16,5.2,5.3,5.1,5.1,371000
DSE-2013,IFILISLMF1,2013-09-17,5.1,5.2,5.1,5.1,510500
DSE-2013,IFILISLMF1,2013-09-18,5.1,5.2,5.1,5.1,155500
DSE-2013,IFILISLMF1,2013-09-19,5.1,5.3,5.1,5.1,502500
DSE-2013,IFILISLMF1,2013-09-22,5.2,5.2,5.1,5.1,286000
DSE-2013,IFILISLMF1,2013-09-23,5.2,5.2,5.1,5.1,168500
DSE-2013,IFILISLMF1,2013-09-24,5.2,5.3,5.1,5.1,327000
DSE-2013,IFILISLMF1,2013-09-25,5.2,5.3,5.2,5.2,936000
DSE-2013,IFILISLMF1,2013-09-26,5.3,5.4,5.2,5.3,897500
DSE-2013,IFILISLMF1,2013-09-29,5.4,5.7,5.3,5.4,681500
DSE-2013,IFILISLMF1,2013-09-30,5.4,5.5,5.3,5.4,156000
DSE-2013,IFILISLMF1,2013-01-10,5.4,5.5,5.3,5.4,238000
DSE-2013,IFILISLMF1,2013-02-10,5.5,5.6,5.4,5.4,735500
DSE-2013,IFILISLMF1,2013-03-10,5.4,5.5,5.3,5.3,152000
DSE-2013,IFILISLMF1,2013-06-10,5.5,5.5,5.1,5.1,117000
DSE-2013,IFILISLMF1,2013-07-10,5.1,5.2,5.1,5.1,62000
DSE-2013,IFILISLMF1,2013-08-10,5.1,5.4,5.1,5.2,346500
DSE-2013,IFILISLMF1,2013-09-10,5.1,5.2,5.1,5.1,178500
DSE-2013,IFILISLMF1,2013-10-10,5.2,5.3,5.2,5.2,223500
DSE-2013,IFILISLMF1,2013-10-20,5.2,5.2,5.0,5.0,90000
DSE-2013,IFILISLMF1,2013-10-21,5.0,5.1,4.9,5.0,31500
DSE-2013,IFILISLMF1,2013-10-22,5.0,5.4,5.0,5.2,212000
DSE-2013,IFILISLMF1,2013-10-23,5.2,5.3,5.1,5.2,308000
DSE-2013,IFILISLMF1,2013-10-24,5.2,5.3,5.1,5.1,393000
DSE-2013,IFILISLMF1,2013-10-27,5.1,5.2,5.0,5.0,502500
DSE-2013,IFILISLMF1,2013-10-28,5.2,5.3,5.1,5.1,277500
DSE-2013,IFILISLMF1,2013-10-29,5.1,5.3,5.1,5.2,307000
DSE-2013,IFILISLMF1,2013-10-30,5.3,5.3,5.2,5.2,70500
DSE-2013,IFILISLMF1,2013-10-31,5.3,5.3,5.1,5.2,501000
DSE-2013,IFILISLMF1,2013-03-11,5.3,5.3,5.2,5.2,138000
DSE-2013,IFILISLMF1,2013-04-11,5.3,5.3,5.2,5.2,43500
DSE-2013,IFILISLMF1,2013-05-11,5.3,5.4,5.2,5.3,495500
DSE-2013,IFILISLMF1,2013-06-11,5.4,5.4,5.3,5.3,118000
DSE-2013,IFILISLMF1,2013-07-11,5.4,5.6,5.4,5.5,254000
DSE-2013,IFILISLMF1,2013-10-11,5.6,5.7,5.5,5.6,687000
DSE-2013,IFILISLMF1,2013-11-11,5.6,5.9,5.6,5.7,907500
DSE-2013,IFILISLMF1,2013-12-11,5.9,6.2,5.7,5.8,1050500
DSE-2013,IFILISLMF1,2013-11-13,6.0,6.2,5.9,6.0,834000
DSE-2013,IFILISLMF1,2013-11-14,6.2,6.6,6.2,6.2,1583000
DSE-2013,IFILISLMF1,2013-11-17,6.3,6.4,6.2,6.2,1854000
DSE-2013,IFILISLMF1,2013-11-18,6.3,6.3,6.0,6.0,654000
DSE-2013,IFILISLMF1,2013-11-19,6.0,6.2,6.0,6.1,371000
DSE-2013,IFILISLMF1,2013-11-20,6.1,6.3,6.1,6.1,547500
DSE-2013,IFILISLMF1,2013-11-21,6.2,6.2,6.0,6.1,479500
DSE-2013,IFILISLMF1,2013-11-24,6.2,6.2,5.9,5.9,835500
DSE-2013,IFILISLMF1,2013-11-25,5.9,6.2,5.9,6.0,991500
DSE-2013,IFILISLMF1,2013-11-26,6.0,6.1,5.9,5.9,1075000
DSE-2013,IFILISLMF1,2013-11-27,6.0,6.0,5.8,5.8,955500
DSE-2013,IFILISLMF1,2013-11-28,5.9,5.9,5.8,5.8,306500
DSE-2013,IFILISLMF1,2013-01-12,5.9,5.9,5.8,5.8,285500
DSE-2013,IFILISLMF1,2013-02-12,5.9,6.0,5.7,5.8,358500
DSE-2013,IFILISLMF1,2013-03-12,5.8,6.0,5.8,5.9,223500
DSE-2013,IFILISLMF1,2013-04-12,6.0,6.1,5.8,5.8,765000
DSE-2013,IFILISLMF1,2013-05-12,5.8,6.0,5.6,5.7,532000
DSE-2013,IFILISLMF1,2013-08-12,5.7,5.9,5.7,5.7,120500
DSE-2013,IFILISLMF1,2013-09-12,5.8,5.9,5.7,5.7,215000
DSE-2013,IFILISLMF1,2013-10-12,5.8,5.9,5.8,5.8,275500
DSE-2013,IFILISLMF1,2013-11-12,5.9,6.0,5.8,5.9,393000
DSE-2013,IFILISLMF1,2013-12-12,5.8,5.9,5.8,5.8,149500
DSE-2013,IFILISLMF1,2013-12-15,5.8,5.9,5.7,5.7,168500
DSE-2013,IFILISLMF1,2013-12-17,5.8,6.0,5.8,5.8,240500
DSE-2013,IFILISLMF1,2013-12-18,5.8,5.8,5.7,5.7,223000
DSE-2013,IFILISLMF1,2013-12-19,5.7,5.9,5.7,5.8,166500
DSE-2013,IFILISLMF1,2013-12-22,5.7,5.8,5.7,5.7,155500
DSE-2013,IFILISLMF1,2013-12-23,5.7,5.8,5.7,5.7,98500
DSE-2013,IFILISLMF1,2013-12-24,5.7,5.8,5.6,5.6,82000
DSE-2013,IFILISLMF1,2013-12-26,5.7,5.8,5.6,5.6,127500
DSE-2013,IFILISLMF1,2013-12-29,5.6,5.7,5.6,5.6,34000
DSE-2013,IFILISLMF1,2013-12-30,5.6,5.7,5.6,5.6,72000
DSE-2013,PHPMF1,2013-01-01,6.9,6.9,6.7,6.7,480000
DSE-2013,PHPMF1,2013-02-01,6.7,6.8,6.7,6.7,263500
DSE-2013,PHPMF1,2013-03-01,7.0,7.3,7.0,7.3,3966000
DSE-2013,PHPMF1,2013-06-01,7.3,7.8,7.3,7.4,2556500
DSE-2013,PHPMF1,2013-07-01,7.3,7.4,7.1,7.2,1483500
DSE-2013,PHPMF1,2013-08-01,7.3,7.4,7.1,7.1,1312500
DSE-2013,PHPMF1,2013-09-01,7.8,7.8,7.2,7.2,3825000
DSE-2013,PHPMF1,2013-10-01,7.3,7.3,7.0,7.0,1811000
DSE-2013,PHPMF1,2013-01-13,7.0,7.1,6.9,6.9,1134000
DSE-2013,PHPMF1,2013-01-14,7.0,7.0,6.7,6.8,2062000
DSE-2013,PHPMF1,2013-01-15,6.8,6.9,6.7,6.8,528500
DSE-2013,PHPMF1,2013-01-16,6.8,6.9,6.8,6.8,670000
DSE-2013,PHPMF1,2013-01-17,6.8,7.0,6.8,6.8,901000
DSE-2013,PHPMF1,2013-01-20,6.9,6.9,6.8,6.8,492500
DSE-2013,PHPMF1,2013-01-21,6.9,6.9,6.8,6.8,841000
DSE-2013,PHPMF1,2013-01-22,6.8,6.8,6.6,6.6,2636500
DSE-2013,PHPMF1,2013-01-23,6.6,6.7,6.5,6.5,2049500
DSE-2013,PHPMF1,2013-01-24,6.5,6.7,6.5,6.5,980500
DSE-2013,PHPMF1,2013-01-27,6.6,6.6,6.4,6.4,1345000
DSE-2013,PHPMF1,2013-01-28,6.5,6.5,6.3,6.4,1581500
DSE-2013,PHPMF1,2013-01-29,6.4,6.7,6.4,6.5,929500
DSE-2013,PHPMF1,2013-01-30,6.7,6.7,6.4,6.4,932500
DSE-2013,PHPMF1,2013-01-31,6.5,6.6,6.4,6.4,768000
DSE-2013,PHPMF1,2013-03-02,6.4,6.5,6.4,6.4,664000
DSE-2013,PHPMF1,2013-04-02,6.5,6.5,6.3,6.3,792500
DSE-2013,PHPMF1,2013-05-02,6.4,6.5,6.3,6.4,1049000
DSE-2013,PHPMF1,2013-06-02,6.4,6.6,6.4,6.4,1085500
DSE-2013,PHPMF1,2013-07-02,6.5,6.6,6.5,6.5,1428000
DSE-2013,PHPMF1,2013-10-02,6.6,6.7,6.5,6.5,1336500
DSE-2013,PHPMF1,2013-11-02,6.6,6.7,6.5,6.5,858000
DSE-2013,PHPMF1,2013-12-02,6.7,6.7,6.4,6.4,1156000
DSE-2013,PHPMF1,2013-02-13,6.5,6.6,6.4,6.4,820000
DSE-2013,PHPMF1,2013-02-14,6.4,6.5,6.4,6.4,1610500
DSE-2013,PHPMF1,2013-02-17,6.4,6.5,6.3,6.3,1211000
DSE-2013,PHPMF1,2013-02-18,6.3,6.4,6.2,6.2,1138500
DSE-2013,PHPMF1,2013-02-19,6.2,6.3,6.0,6.1,1249000
DSE-2013,PHPMF1,2013-02-20,6.2,6.2,6.0,6.0,542000
